STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-25,0,48,31,2014,2,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-26,0,49,31,2014,2,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-27,1,39,28,2014,2,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-28,0.5,42,26,2014,2,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-01,1.8,35,28,2014,3,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-02,0.2,42,24,2014,3,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-03,0,45,30,2014,3,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-04,0,39,26,2014,3,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-05,0.1,47,23,2014,3,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-06,0.3,47,29,2014,3,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-07,0,45,24,2014,3,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-08,0,45,22,2014,3,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-09,0.1,54,29,2014,3,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-10,0,49,24,2014,3,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-11,0,36,19,2014,3,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-12,0,44,19,2014,3,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-13,0,46,24,2014,3,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-14,0.2,45,24,2014,3,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-15,0,41,26,2014,3,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-16,0,49,25,2014,3,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-17,0,45,18,2014,3,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-18,0,29,13,2014,3,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-19,0.2,42,11,2014,3,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-20,0,48,28,2014,3,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-21,0,45,27,2014,3,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-22,0,42,23,2014,3,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-23,0,45,22,2014,3,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-24,0,45,29,2014,3,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-25,0.1,55,30,2014,3,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-26,0.2,44,27,2014,3,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-27,0.4,37,25,2014,3,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-28,0,42,26,2014,3,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-29,0,46,35,2014,3,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-30,0.2,42,23,2014,3,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-03-31,0.4,38,17,2014,3,31
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-01,0.4,34,20,2014,4,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-02,0.1,37,17,2014,4,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-03,0,41,15,2014,4,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-04,0.1,47,21,2014,4,4
